path,emotion,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,lpc_0,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,lpc_12,formant_1,formant_2,formant_3
ravedess-emotional-speech-audio\Actor_01\03-01-02-02-02-01-01.wav,calm,-687.784,61.919678,2.995711,11.420323,4.4978356,1.2314442,-8.976568,-6.934919,-8.936617,3.1329415,0.26412785,0.36995727,-4.8366103,207.35075,69.22054,25.151066,17.648094,16.005285,11.98953,18.094791,12.106799,13.739232,11.519472,7.4672103,7.963948,10.946151,0.44660115,0.51945996,0.49512714,0.43760055,0.46511388,0.4713638,0.48256838,0.49885583,0.48995122,0.55522144,0.69832116,0.5526528,0.28964284,0.33022022,0.3099969,0.31435987,0.30933303,0.2861019,0.33236253,0.34629965,0.3215128,0.29772696,0.30594924,0.29535997,1.0,-0.7348247,0.1999639,-0.94748455,0.30755547,0.1697796,0.36447924,-0.13338792,-0.079281375,-0.17928527,0.077077284,-0.061656985,0.14685537,1829.2123027459681,3453.7835395090287,4342.081744974121
ravedess-emotional-speech-audio\Actor_01\03-01-02-02-02-02-01.wav,calm,-669.3351,56.18406,-3.9064758,15.831812,2.2213151,0.4057626,-10.832254,-10.301562,-7.9346514,4.79555,-2.0441551,-0.6330766,-7.124411,194.28255,66.820206,28.646542,18.18542,15.770564,10.355501,16.752571,12.851108,12.093359,11.199629,8.772327,7.433038,9.522109,0.4421896,0.5354222,0.5416084,0.5119714,0.5299943,0.5928913,0.5922305,0.5849082,0.5377368,0.5399911,0.5548732,0.44158152,0.27371234,0.2965869,0.31942496,0.31461534,0.2946561,0.3172611,0.33082414,0.32758203,0.30694345,0.32084686,0.30516586,0.28659245,1.0,-0.789844,-0.047694683,-0.6604408,0.589437,0.048375264,0.12386955,-0.2019117,0.10591908,-0.051298447,0.03092124,-0.19761784,0.17730902,1899.5165771936809,3321.8215831018965,4389.717261065022
ravedess-emotional-speech-audio\Actor_01\03-01-03-01-01-01-01.wav,happy,-630.4844,55.85235,-4.8468113,14.766146,-2.3529184,-4.4143267,-8.338184,-11.595629,-6.6747723,0.13697676,-8.877776,2.5722442,-8.064328,203.94029,61.309547,23.462074,25.147045,18.287245,13.80697,14.711064,15.823006,13.096208,10.013254,13.171711,8.954592,12.550015,0.59697765,0.5329591,0.51000756,0.5626617,0.62791526,0.55353415,0.54746914,0.5634342,0.557771,0.5600883,0.5927594,0.5727832,0.2647554,0.23390509,0.27619398,0.25593153,0.30932438,0.3447865,0.35523194,0.32015273,0.3264847,0.32937697,0.3216643,0.28248176,1.0,-1.5850222,1.0737059,-0.82296693,0.62545484,-0.5478249,0.5453768,-0.27269337,0.10520326,-0.19531848,0.1471385,0.06900852,-0.044574145,546.5322716361541,1661.5718333501347,2472.1085211423347
ravedess-emotional-speech-audio\Actor_01\03-01-03-01-01-02-01.wav,happy,-610.3609,53.820595,-5.103017,17.301193,0.7623973,-5.3264484,-6.6245155,-12.669138,-6.569199,2.280546,-8.218486,5.0824437,-7.734676,194.52065,58.64791,27.216959,24.08845,19.0056,17.612349,14.440605,18.782843,14.869929,8.639908,14.822626,10.685302,14.717904,0.56277573,0.5462266,0.5078556,0.54956704,0.55003333,0.5401188,0.5096667,0.51980746,0.51292026,0.5379058,0.5989734,0.5695261,0.26823756,0.29997885,0.2635782,0.2908532,0.31992295,0.32129017,0.30853572,0.29496217,0.31926355,0.33271426,0.31994036,0.2730304,1.0,-1.8093834,1.272247,-0.5539063,0.36906388,-0.74736124,0.9911868,-0.48741144,-0.0857156,-0.030845124,0.40726835,-0.32826346,0.09491049,554.95797949554,1483.1764579348887,2426.7143651257957
ravedess-emotional-speech-audio\Actor_01\03-01-03-01-02-01-01.wav,happy,-642.2666,54.73978,-1.5624719,12.108255,-1.5802337,-2.6530113,-9.055992,-13.778261,-8.004792,3.8767343,-8.001146,2.607437,-6.228378,197.88359,62.299088,25.236208,19.262419,20.984823,12.6888685,17.093494,15.962892,14.54086,11.361066,10.741091,9.698284,10.761698,0.4895379,0.4974351,0.52950215,0.49588606,0.44276434,0.46394473,0.46948352,0.5449703,0.60344684,0.5844654,0.5948151,0.60248506,0.28207713,0.2931097,0.2826711,0.28026396,0.28718048,0.28307018,0.27278802,0.31448764,0.35298005,0.33945766,0.3375225,0.3048053,1.0,-1.3111656,0.47844657,-0.3672834,0.4373945,-0.45628998,0.4089216,-0.08255905,0.0151619725,-0.17690414,0.27089956,-0.20656347,0.091816165,674.1126021904338,2081.4103059983795,2782.5340012711754
ravedess-emotional-speech-audio\Actor_01\03-01-03-01-02-02-01.wav,happy,-635.335,48.80488,2.6291342,17.269691,-2.4149995,-0.032665104,-7.1056347,-13.695678,-8.430627,1.7542455,-5.9194765,3.1524143,-6.757477,206.8703,60.152626,25.864803,23.367647,21.750006,15.912719,17.453568,17.58613,15.65561,11.995382,12.192876,9.052158,11.654361,0.49660614,0.5053045,0.5177461,0.5149974,0.42451617,0.4479006,0.4547725,0.46732017,0.5448728,0.5436076,0.5966792,0.607026,0.27924776,0.29900634,0.31750152,0.35891426,0.3185102,0.32204226,0.3056108,0.30517393,0.34150967,0.33603555,0.33728144,0.32832828,1.0,-0.97621495,0.3928085,-0.7228547,0.4405662,-0.21049051,0.19460031,0.005175831,-0.0027977675,0.016874865,-0.012331542,-0.048696093,0.08351817,1883.1576034730022,2782.409856032377,3609.2067457971516
ravedess-emotional-speech-audio\Actor_01\03-01-03-02-01-01-01.wav,happy,-583.44666,43.252106,-6.601254,5.285235,-3.2655194,-6.4368243,-15.119596,-9.423281,-14.164571,0.6129295,-9.420697,0.22905579,-8.014881,203.6114,51.356895,24.19471,21.056454,23.432064,16.633242,20.105007,11.740255,17.563679,9.579803,13.177922,9.115215,11.390536,0.44450885,0.42954925,0.554792,0.4898131,0.45339993,0.531357,0.54648334,0.561255,0.47439915,0.41400936,0.46996215,0.52352095,0.3200543,0.27634773,0.35545713,0.30732778,0.29522595,0.3252465,0.31827027,0.3210975,0.2991932,0.30170307,0.3077366,0.31400612,1.0,-1.4987504,0.7367809,-0.50041246,0.6158173,-0.41383475,0.32985413,-0.27758616,0.26834142,-0.30700666,0.2635542,-0.17182346,0.080249704,605.7611012629446,1528.851395753245,2696.823948980586
ravedess-emotional-speech-audio\Actor_01\03-01-03-02-01-02-01.wav,happy,-553.58167,48.836487,-12.89195,7.2298584,-0.2753573,-7.637723,-12.393135,-12.6224165,-13.238041,5.558516,-10.277538,0.5783984,-5.8990626,189.94879,48.48935,24.567863,20.208244,21.993715,18.28179,15.566129,17.143265,22.978151,10.640915,15.664272,9.723928,12.024788,0.42345506,0.49065942,0.42091906,0.41417176,0.48800632,0.56249845,0.5454388,0.58601004,0.56807977,0.45474908,0.4396644,0.3741495,0.3021227,0.31591433,0.3240903,0.31560174,0.30038023,0.32670566,0.31550795,0.32270074,0.32974297,0.3173119,0.3189919,0.3002311,1.0,-1.7011726,0.99763536,-0.3380048,0.3523636,-0.5507941,0.50976795,-0.09813796,0.032964822,-0.45274428,0.66037345,-0.4275515,0.12479603,511.5482044654693,1554.240931059302,2616.5948829666227
ravedess-emotional-speech-audio\Actor_01\03-01-03-02-02-01-01.wav,happy,-503.05002,39.735077,-10.254747,7.519567,-3.3695,-6.8978252,-13.012488,-16.885265,-11.619035,2.6081374,-12.242265,2.8039393,-9.192975,187.09387,50.38607,28.674215,17.847944,23.971619,16.305803,17.018955,19.34873,17.61589,11.073267,15.567899,8.854077,13.616467,0.40933844,0.420203,0.39705953,0.43813637,0.47803566,0.5688158,0.52177286,0.52434164,0.5512369,0.47977015,0.4749087,0.45087516,0.30479887,0.31233492,0.30251974,0.3356998,0.30202895,0.33157858,0.31369877,0.31870157,0.3180447,0.2875924,0.34817684,0.3421088,1.0,-1.3068964,0.5342721,-0.2546429,0.38876602,-0.6706502,0.609545,-0.11139161,-0.059599243,-0.29189527,0.3865084,-0.05038761,-0.00852807,637.2378331107521,1613.840858876615,2662.5534615151464
ravedess-emotional-speech-audio\Actor_01\03-01-03-02-02-02-01.wav,happy,-526.5468,41.82679,-10.284768,6.713706,-5.5285783,-6.70969,-13.495095,-16.288134,-13.732458,0.29332218,-9.905761,2.5674846,-8.198202,202.6046,53.674717,29.403288,19.54707,24.211536,16.71027,19.870764,17.96433,17.361246,9.049441,13.721913,9.557363,10.696484,0.45984003,0.44976678,0.4382752,0.44102255,0.46219662,0.5588055,0.527279,0.521672,0.5667823,0.53040785,0.4539577,0.4584074,0.32013527,0.30019498,0.29264554,0.29174742,0.28660625,0.32338807,0.31197405,0.3085923,0.35700148,0.34968576,0.33829305,0.34154117,1.0,-1.0701833,0.26713157,-0.26909357,0.22752643,-0.15173179,0.31455028,-0.18771335,0.191666,-0.26057893,0.064814344,-0.0034916475,0.10731747,568.770286507927,1511.4007088135024,2623.4834111028567
ravedess-emotional-speech-audio\Actor_01\03-01-04-01-01-01-01.wav,sad,-672.90015,56.01513,-3.0299673,18.127066,-1.5164065,-2.1759305,-8.543329,-12.892449,-7.3388257,-3.871756,-2.8191938,-0.8846321,-8.236105,184.77507,59.974285,25.145006,23.04613,16.462095,13.225923,14.792636,15.723608,9.838089,8.726613,10.175852,9.538302,10.962015,0.60499656,0.63699186,0.55299944,0.5242609,0.48806778,0.42718315,0.43075323,0.5022031,0.55055034,0.5630646,0.61676705,0.55614394,0.29407215,0.29746985,0.2804002,0.31877995,0.322233,0.3052523,0.31918475,0.32182768,0.35919997,0.33673626,0.3265283,0.27936065,1.0,-1.4239575,1.174613,-1.3174263,0.964559,-0.600902,0.35529292,-0.17178689,0.087138645,0.009889904,-0.08716768,0.13971853,-0.017146168,3085.1188133761543,4062.187595143124,4533.979850981497
ravedess-emotional-speech-audio\Actor_01\03-01-04-01-01-02-01.wav,sad,-682.63196,58.302124,-2.717058,20.004091,0.23189504,1.0483507,-6.7968435,-11.829402,-8.780702,-1.4136027,-3.3442795,-1.7505807,-4.5795126,190.6978,60.303345,26.920706,23.690456,18.350782,10.658652,14.680328,14.33137,10.899282,8.689267,9.146488,6.76239,9.487989,0.5284808,0.5324412,0.5220918,0.57105297,0.55081373,0.5241099,0.5225648,0.5864949,0.6065677,0.5257496,0.4773755,0.4516793,0.2927883,0.32680988,0.31946924,0.3129231,0.3412,0.34604323,0.33706695,0.30075094,0.31303748,0.32099503,0.32101482,0.26921147,1.0,-1.6666498,1.1898929,-0.9118679,0.71032333,-0.50437796,0.41162068,-0.20722744,0.11688395,-0.13934894,0.116255015,-0.116328076,0.073053546,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-04-01-02-01-01.wav,sad,-724.79913,53.721565,-4.574374,16.966185,-0.8659846,-1.1190158,-7.1070285,-12.358787,-7.3665285,-0.28507465,-2.7335439,-1.0337759,-5.21055,206.47346,66.214035,26.725496,22.025276,16.481403,10.242113,15.623302,15.7683,12.5325,8.599926,7.0869474,7.7475233,7.777008,0.5527522,0.5785513,0.54158396,0.60084605,0.5929117,0.52906865,0.54700226,0.5778038,0.6529207,0.73802555,0.6520687,0.5837157,0.26509017,0.27089477,0.29785082,0.32394063,0.29871887,0.30947807,0.32828405,0.3185921,0.31391856,0.28180003,0.30138326,0.283567,1.0,-1.3125155,0.67736405,-0.7179674,0.48113933,-0.099788085,0.08952037,-0.03384685,0.11405502,-0.12999165,-0.027617514,0.032413643,0.04726206,0.0,0.0,0.0
ravedess-emotional-speech-audio\Actor_01\03-01-04-01-02-02-01.wav,sad,-701.4147,54.7576,-0.2366631,18.080446,-0.94446707,2.6285303,-6.0568852,-14.143858,-7.779832,-1.5049686,-4.02643,0.42347255,-6.85462,204.19325,64.43411,25.463545,24.961176,15.134831,12.01124,15.128913,18.382198,12.5536375,10.341997,8.647276,6.949222,9.151646,0.5316005,0.4981395,0.47078183,0.51441425,0.5157211,0.5292456,0.5198537,0.53698015,0.56980586,0.58711267,0.6141173,0.6205546,0.3027216,0.2993235,0.27279153,0.28561074,0.26911637,0.31967938,0.31615403,0.2965413,0.3217437,0.3212936,0.31781384,0.3006681,1.0,-1.2080172,0.7321204,-0.9720261,0.64953756,-0.2870035,0.25825787,0.0022195932,0.021514349,-0.121315606,-0.110057674,0.082135685,0.09645271,1479.7068876966605,3322.0982744380976,4457.393805051344
ravedess-emotional-speech-audio\Actor_01\03-01-04-02-01-01-01.wav,sad,-663.14905,57.373806,0.19014995,20.223698,-0.3256583,-0.20812948,-6.662887,-10.965925,-4.4098864,-1.3257084,-3.968886,0.59655005,-7.1608896,193.8775,64.73147,26.802225,24.13906,17.58565,13.237884,15.108216,18.038935,10.891228,10.583662,11.281302,7.409665,11.627929,0.57924247,0.5257479,0.45686588,0.4690299,0.49692893,0.526383,0.4962538,0.5325469,0.5473412,0.60778517,0.6939058,0.61079764,0.2942192,0.28086224,0.29397988,0.3310904,0.31178007,0.316814,0.33638105,0.34594747,0.33761367,0.3401093,0.33028185,0.27441788,1.0,-1.2194445,0.62247,-0.83424556,0.7602294,-0.5239171,0.38279608,-0.20012403,0.13421413,-0.122128874,-0.024365969,0.167775,-0.031506915,2934.322167868481,3946.2436073760277,4663.947972620754
ravedess-emotional-speech-audio\Actor_01\03-01-04-02-01-02-01.wav,sad,-616.93207,44.39538,-5.405289,11.9278965,-1.8766826,-7.3231387,-9.726255,-14.286551,-10.135011,-0.31393465,-9.5801115,2.3014092,-9.510462,193.86676,58.244926,27.360924,18.627344,18.72266,15.158403,14.650715,18.635098,12.98049,8.969899,13.624839,9.758527,12.823998,0.5092801,0.51720726,0.48710483,0.48922536,0.5376569,0.5049964,0.5022253,0.60225934,0.5446493,0.4852442,0.5640159,0.58623457,0.27419573,0.28967747,0.29730392,0.30942994,0.33945626,0.33066642,0.32779774,0.3380919,0.3307369,0.32256603,0.33105794,0.31958887,1.0,-1.6424873,0.9711401,-0.58211327,0.59602034,-0.6372834,0.6759035,-0.40909863,0.30617532,-0.5066469,0.4610841,-0.19095713,0.04956205,645.7119213420654,1384.3563914717695,2560.6302375158534
ravedess-emotional-speech-audio\Actor_01\03-01-04-02-02-01-01.wav,sad,-607.47,47.07704,-4.792645,14.60579,-1.8017403,-5.252694,-10.085372,-18.825283,-10.671867,-0.8255747,-9.25923,1.567165,-8.888567,195.01279,61.583,28.2306,20.843098,16.998426,16.319939,18.48452,22.69463,13.674126,8.105862,12.200782,9.537506,11.841939,0.5053388,0.5392222,0.49215794,0.46834153,0.46235478,0.52570647,0.52779955,0.55406094,0.60624075,0.6050523,0.60388523,0.5708299,0.2976168,0.2940894,0.30024502,0.32853258,0.30760792,0.30783212,0.32639822,0.33412,0.33253127,0.33821848,0.3377447,0.32796118,1.0,-1.3691684,0.82467556,-0.75798315,0.6838335,-0.6074193,0.42129922,-0.075094655,0.052235134,-0.22510469,0.044835117,0.17384371,-0.017894324,849.9279051047204,1971.6964704939417,2754.8350436240526
ravedess-emotional-speech-audio\Actor_01\03-01-04-02-02-02-01.wav,sad,-592.2696,43.40025,-3.3186476,13.34333,-3.2777643,-5.0254827,-10.850559,-16.18702,-9.394396,0.27408835,-8.029783,1.4333239,-9.904449,211.63953,56.353287,24.385647,20.462193,16.968552,14.761034,19.02498,21.620829,12.898779,10.176282,11.737147,9.89318,13.924124,0.5422479,0.5237429,0.51511204,0.5292697,0.51134604,0.5220489,0.5284573,0.5372159,0.5122712,0.5002101,0.57560796,0.5819725,0.31055814,0.2973797,0.30821314,0.32530913,0.3087429,0.3520705,0.3700269,0.3578995,0.33784246,0.31446183,0.35260236,0.33291665,1.0,-1.1356204,0.70039326,-0.87966186,0.5991075,-0.41597015,0.36202496,-0.12615713,0.08192905,-0.1460811,-0.07086495,0.22462317,0.016190743,773.5994492174548,1843.5626502389393,2856.306881925662
ravedess-emotional-speech-audio\Actor_01\03-01-05-01-01-01-01.wav,angry,-534.05237,34.978027,-3.5949755,11.610252,-5.7629566,-3.454508,-3.7988544,-9.873667,-10.285377,1.0964575,-7.119155,0.7013888,-7.580585,202.54506,53.67316,27.199158,24.33314,21.579018,15.2422905,13.540727,14.215556,16.150213,11.830788,10.79781,7.285116,12.36831,0.43165612,0.51162195,0.5534291,0.5622944,0.5015525,0.5182628,0.5200105,0.4819728,0.47203532,0.5815341,0.5806026,0.4298701,0.27841118,0.29293013,0.29600218,0.28903833,0.2911892,0.32288054,0.32661662,0.29820427,0.2858103,0.3284829,0.310796,0.24093574,1.0,-1.1606319,0.44793552,-0.3986161,0.39166743,-0.39311647,0.32368186,-0.059063956,0.15296856,-0.22076413,0.19255975,-0.19260076,0.10181511,574.0268822862439,1606.2724843359954,2707.350682250664
